S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
22,The value of visible exports less the value of visible imports equals,Terms of trade,Balance of trade,Balance of payments,Capital accoufnt balance,Current account balancle,B,International trade,,,,ADVANCE
23,"When a measure taken to redress or cushion the effects of inflation leads to a further worsening of the problem, we have",Hyper-inflation,Creeping inflation,Stagflation,Mark-up inflation,Spiral inflation,E,Inflation and deflation,,,,ADVANCE
24,The acronym SDR means,Special Drawing Rights,Savings Discount Requirements,Savings Deposit Rates,Special Deposits Rights,Special Development Research,A,,,,,ADVANCE
25,Currency devaluation is associated with,Flexible exchange rate system,Fixed exchange rate system,Multiple-exchange rate system,Floating exchange rate system,Managed floating exchange rate system,B,International trade,,,,ADVANCE
26,The indicator of the value of money in an economy is the,National income,Disposable national income,Gross domestic jproduct,Aggregate Consumption,General price level,E,National income,,,,ADVANCE
27,Government will adopt a surplus budget to enable the country overcome the problems of,Economic depression,Economic recession,Deflation,Unemployment,Inflation,E,Public finance,,,,ADVANCE
28,The unemployment caused by a change to more capital-intensive technologies in most sectors of the economy is described as                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Cyclical unemployment,Structural unemployement,Seasonal unemployment,Residual unemployment,Frictional unemployment,B,Unemployment,,,,ADVANCE
29,The apex regulatory bank in every modern financial system is the,Central Bank,Mortgage Bank,Development Bank,Commercial Bank,Micro Finance Bank,A,Financial institution,,,,ADVANCE
30,Which of the following is NOT a function of Organization of Petroleum Exporting Countries (OPEC)?,Co-ordinating and unifying the petroleum policies of members,Providing financial assistance to all non-oil producing countries,Providing an efficient and regular supply of petroleum,Promoting oil price stabilityt,Guaranteeing a fair return to investors in the petroleum industry,B,International economic organization,,,,ADVANCE
31,The fundamental economic problem of each society is the resources are scarce in relation to ,Choise,Opportunity cost,Their scale of preference,The demand for them,Unlimited wants,E,Basic economic problems of the society,,,,ADVANCE
32,A price floor set above the equilibirum price will ,Have no effect,Create a surplus,Lead to a price decrease,Create a shortage,Lead to a price increase,B,Demand and supply,,,,ADVANCE
33,"If the cross-price elasticity of demand coefficient between two goods is negative, it means the two goods are",Complements,Close substitutes,Poor substitutes,Not related,Jointly proceduced,A,Demand and supply,,,,ADVANCE
34,The major function of the price mechanism is to,Enable producers to make highest profit,Ensure that the consumer is king,Ensure that all consumers buy the same quantity of goods,Allocate scarce resources among competing needs,Restrict the demand of consumer,D,Price determination,,,,ADVANCE
35,"When combination of two goods on which a consumer derives equal satisfaction is plotted on graph, the result is called",The production possibility curve,A demand curve,The utility curve,An indiffeerence curve,An indifference map,D,Theory of consumer behaviour,,,,ADVANCE
36,A firm facing cosntant return to scale will,Double its output when it doubles its inputs,More than double its output when it doubles its inputs,Less than double its output when it doubles its inputs,More than double its outputs when it is less than double its input,Have consistant output irrespective of the amount of inputs,A,Production,,,,ADVANCE
37,The marginal product curve and the average product curve will intersect,At the minimum point of the marginal product curve,At the minimum point of th average product curve,At the maximum point of the marginal product curve,At the maximum point of the average product curve,At the mnimum and maximum point of the average product curve,D,Production,,,,ADVANCE
38,A form of Capital which is used up in the process of production is called,Circulating Capital,Shared Capital,Liquid Capital,Fixed Capital,Issued Capital,A,Production,,,,ADVANCE
39,The charging of different prices to different groups of buyers for the same goods and services is called,Price determination,Price discrimination,Product differentiation,Monopolistic competition,Perfect competition,B,Price system,,,,ADVANCE
40,Which of the following is not TRUE of the equilibrium condition under perfect competition?,MC is rising,MC curve cuts AC curve from below,MC = AC,MR > AR,AC = MR = AR,D,Theory of cost,,,,ADVANCE
41,"If 502.75 million tonnes of grains are produced annually by a population of 88.5 million people, the per capita grains production will be",6.00 tonnes,5.68 tonnes,0.60 tonnes,0.57 tonnes,0.176 tonnes,B,National income,,,,ADVANCE
42,"Given the consumption in an economy as C = 100 + 0.75Y. If Y = C + S and Y = ₦1,500, how much is saved?",₦ 375.00,"₦ 1,400.00","₦ 1,125.00",₦ 425.00,₦ 275.00,E,National income,,,,ADVANCE
43,Which item of the following price indices is used to adjust nominal gross domestic product for the effect of price inflation?,The whole price index,The product price index,the GDP deflator,The consumer price index,The final good deflator,C,National income,,,,ADVANCE
44,"In a three sector economy, national income is",C + I + (X - M),C + I + G,C + I + S,C + S + (X - M),C + X - M,B,National income,,,,ADVANCE
45,The market for very short term loan is called,Micro finance bank,Money market,Stock market,Foreign exchange market,Capital market,B,Market,,,,ADVANCE
46,Which of the following is NOT a function of a Central Bank?,Formulation of Monetary Policies,Lender of the last resort,Banker to the government,Issuance and distribution of currency,Acceptance of demand and time deposits from indiviuals and corporate customer,E,Financial institution,,,,ADVANCE
47,An increase in money supply without a corresponding increase in output of goods and services in the economy will lead to,Deflation,Inflation,Stagflation,Deregulation,Capitalization,B,Inflation/deflation,,,,ADVANCE
48,Which of the following is an item of government recurrent expenditure?,Construction of hospital,Telecommunication projects,Provision of science equipment,Wages and salaries,Road construction,D,National income,,,,ADVANCE
49,An ad-valorem tax is a tax on,the appreciation in the valueo of land.,the total value of income of an individual.,imported goods and services.,the weight of an imported item.,a certain percentage of the value of a commodit.,E,Public finance/taxation,,,,ADVANCE
50,A system of taxation where the tax rate increases as the tax base increases is,proportional tax.,progressive tax.,regressive tax.,incremental tax.,indirect tax.,B,Public finance/taxation,,,,ADVANCE
51,"The causes of unemployment in an economy can be traced to the following, EXCEPT",Rapid population growth,Dependence on inappropriate foreign technology,Rural-urban income differentials,Low level of foreign direct investment,Reduction in national output,E,Unemployment,,,,ADVANCE
52,ONE of the measures for reducing unemployment in any developing economy is,maintaining poor database of the unemployed people.,promoting geographical immobility of labour.,discouraging education and training of manpower.,providing essential services in the rural areas.,preventing acquisition of knowledge and skills in entrepreneurship.,D,Unemployment,,,,ADVANCE
53,which of the following actions will NOT promote globalization?,Removal of trade barriers,Upgrading economic infrastructure,Failitating free movement of people across border,Nationalizing most private business enterprises,Easing restriction on inflow of foreign direct investment,D,International trade,,,,ADVANCE
54,Which of the following is NOT a case in favour of Protectioism?,To protect infant industries,To expand domestic employment,Topromote dumping,To correct balance of payments deficit,To enhance national security,C,International trade,,,,ADVANCE
55,"If the Terms of Trade (TOT) of a country is less than 100, the country is said to record",Favourable TOT,Unfavourable TOT,Trade deficit,Trade surplus,Balance TOT,B,International trade,,,,ADVANCE
56,Strategies open to developing counries to foster their economic growth include all of the following EXCEPT,Establishing and implementing the new rule of law,Controlling population growth,Discouraging foreign direct investment,Building human capital,Making peace with neighbours,C,Economic development and planning,,,,ADVANCE
57,Which of the following statements is NOT correct in the description of the developing economies?,They are overpopulated,Labour productivity is high,Primitive technologies dominate production,Exports are mostly primary products,Unemployment and underemployment are widespread,B,Economic development and planning,,,,ADVANCE
58,"For most developing nations, obstacles to economic development include all the following EXCEPT",Corruption,Political stability,The dearth of foreign direct investment,Inappropriate education and training,Lack of appropriate institutions,B,Economic development and planning,,,,ADVANCE
59,Increased output resulting from structural and technological change in an economy implies,Economic development,Economic growth,Internal economies of scale,Economic boom,Diseconomies of scale,B,Basic economic system,,,,ADVANCE
60,Which of the following is NOT a problem of economic planning in West Africa?,Lack of good statistical data,Political instability,Inadequate manpower,Corruption,Not-availability of raw materials,E,Economic development and planning,,,,ADVANCE
61,"As a methodology in economics, deductive approach means",Reasoning from the general to the particular,Reasoning from the particicular to the general,Generalization from the particular to the general,Using figures from observed phenomenon to substantiate points,Establishing veritfiable laws,A,Economics meaning and basic concept,,,,ADVANCE
62,The income elasticity of demand coefficient for a normal good is,Positive,Negative,Zero,Infinite,Less than zero,A,Demand and supply,,,,ADVANCE
63,Two goods X and Y are said to be complementary when,The two goods are independent,A rise in the price of X does not affect the demand for Y,A fall in the price of X does not affect the demand for Y,A fall in the price of X causes a fall in the demand for Y,A fall in the price of X raises the demand for Y,E,Demand and supply,,,,ADVANCE
64,Demand for any factor of production is a ,Competitive demand,Derived demand,Joint demand,Composite demand,Normal demand,B,Demand and supply,,,,ADVANCE
65,ONE of the assumptions of the ordinalist theory of consumer behaviour is that,Choice is inconsistent,Total utility is a function of price,Consumer is irrational,Satisfaction is measurable,Utility can be ranked,E,Demand and supply,,,,ADVANCE
66,The marginal product of labour is zero when,Average product is rising,Total product is rising,Total product is falling,Total product is at maximum,Average product is at maximum,D,Demand and supply,,,,ADVANCE
67,The oldest and simplest form of business organization is,Public corporation,Cooperative society,Joint stock company,Partnership,Sole proprietorship,E,Business organization,,,,ADVANCE
68,The necessary condition for  a firm to be at equilibrium at a given level of output is where ,Marginal cost is falling,Marginal cost is greater than the marginal revenue,Marginal cost is equal to marginal revenue,Marginal cost is less than the marginal revenue,Price is equal to marginal revenue,C,Theory of cost and revenue,,,,ADVANCE
69,The following are the characteristics of land as a factor of production EXCEPT where,It is geograhically fixed in supply,It is subject to th law of diminishing returns,It is highly mobile,The stock of land cannot be replaced once exchausted,It is a free gift of nature,C,Production,,,,ADVANCE
70,Which of the following is NOT an advantage of division of labour?,It makes possible greater use of machinerhy,Greater skills of workers,Employments of specialists,Extreme interdepence,Savings of time,D,Labour,,,,BEGINNER
71,"For monopoly firm, the demand curve is",Inelastic,Perfectly inelastic,Perfectly elastic,Elastic,Unitary elastic,A,Demand and supply,,,,BEGINNER
72,The market condition for a typical firm is given as P = 100 - 4q and the total cost function is C = 50 +20q. The price and output level that maximize profit are,60 and 10 respectively,20 and 10 respectively,10 and 10 respectively,10 and 20 respectively,30 and 20 respectively,B,Theory of cost,,,,ADVANCE
73,"In the multiplier equation expressed as K = 1/1-mpc, where mpc is marginal propensity to consume. If the marginal propensity to save (mps) is 0.25, then the value of investment multiplier (k) is",25,4,2.5,2,1,B,Theory of income determination,,,,ADVANCE
74,The following factors exert influence on the size on a country's national income EXCEPT,Quantity and quality of labour,Availability of national resources,Mobility of labour,Technical know-how,Social and economic overhead,C,National income,,,,ADVANCE
75,The difference between the Gross National Product (GNP) and the Gross Domestic Product (GDP) is,Consumption of fixed capital,Net factor income from abroad,Disposable income,Per capital income,Depreciation,B,National income,,,,ADVANCE
76,Which of the following statements correctly describes precautionary demand for money?,To meet unforseen expenses,For day to day expenses,For expected better investment opportunity,To meet irregular expenses,As a unit of account,A,Money,,,,ADVANCE
77,Which of the followng is NOT among the characteristics of money?,Durability,Portability,Flexibility,Homogeneity,General acceptability,C,Money,,,,ADVANCE
78,Open Market Operations (OMO) is concerned with the purchase and sale of ,Operational assets,Equity,Debentures,Shares,Government securities,E,Financial institution,,,,BEGINNER
79,Which of the following is a measure of contractionary fiscal policy?,Increase in government expenditure,Increase in taxes,Granting subsidies to firms,Granting tax holiday to local industries,Collection of loans from the multilateral creditors,B,Public finance,,,,ADVANCE
80,A tax system in which the tax rate falls as income rises illustrates,Progressive tax system,Regressive tax system,Proportional tax system,Conventional tax system,Exceptional tax system,B,Public finance/taxation,,,,ADVANCE
81,The incidence of taxes levied on a good whose demand is perfectly price inelastic falls heavily on the,Government,Producer,Consumer,Wholesaler,Retailer,B,Taxation,,,,ADVANCE
82,Inflation reduces the standard of living of the following category of people EXCEPT,Pensioners,Creditors,Rent receivers,Salary earners,Businessmen,E,Inflation/deflation,,,,ADVANCE
83,Whcih of the following is NOT an advantage of international trade?,Increase in total world outuput,Brings about interdependence among nations,Efficient use of world resources,Encourages diseconomies of scale,Increases world standard of living,D,Trade,,,,ADVANCE
84,The policy instruments used in many countries to restrict imports include,Price indexation,Excise duties,Bank rate,High tariffs,Subsidies,D,International trade,,,,ADVANCE
85,Which one of the following is NOT an assumption of the theory of comparative cost,Perfect mobility of factors of production,Trade restrictions,Two countries in the world,No transporation cost,Existence of full employment,B,Theory of cost,,,,ADVANCE
86,Currency devaluation is associated with,Establishment of a system which facilitates utilization of foreign exchange among members countries,Maintenance of stable exchange rate among the member countries,Facilitating convertilibility of nation's currencies and elimination of exchange restrictions,Assisting member countries to solve their balance of payment problem,Providing long term loans for development projects,C,International trade,,,,ADVANCE
87,Which of the following countries is NOT a member of the Ecoomic Community of West African States (ECOWAS)?,Nigeria ,Guinea Bissau,Cameroun,Gambia,Ghana,C,International economic organizations,,,,ADVANCE
88,Which of the following international organizations currently monitors and enforces rules on international trade?,General Agreement on Trade and Tariff (GATT),World Trade Organizatioin (WTO),United Nations Conference on Trade and Development (UNCTAD),International Finance Corporation (IFC),International Trade Union (ITU),B,International economic organization,,,,ADVANCE
89,Which of the following is NOT a feature of developing economies?,Low level of income,Low life expectation,Low populationg rowth rate,Export of primary products,Prdominance of rimitive techology,C,Economic development and planning,,,,ADVANCE
90,Economic growth is achieved if there is,A sustained increase in a country's rela output,A significant decline in inflation rate,An increase in the level of consumption in the Economy,An increase in population growth rate,A reduction in infant mortality rate,A,Economic development and planning,,,,ADVANCE
91,"In a free exterprise economy, the problems of what, how and for whom to produce solved by",A planning committee,The elected representatives of the people,Price mechanism,The government,The legislature,C,Basic economic problems of the society,,,,ADVANCE
92,Economic problems arise because of,Unlimited resources,Scarcity of resources,Political rivalry,Students unrest,Poor management,B,Basic economic problems of the society,,,,ADVANCE
93,"When an individual's income rises, the consumer's demand for a normal good",Rises,Falls,Remains the same,Marginally falls,Is zero,A,Demand and supply,,,,ADVANCE
94,"A set of economic propositions about what is, rather than what ought to be belongs to",Economic policy,Normative economics,Positive economics,Informative economics,Political economics,C,Economics meaning and basic concept,,,,ADVANCE
95,A surplus budget can be used to,Increase aggregate demand,Combat inflation,Boost employment opportunities,Increase the level of economic activities,Stimulate recovery from a recession,B,Public finnance,,,,ADVANCE
96,Which of the following statements best describes economic growth?,An increase in the population of a country,An increase in the country's level of imports,An increase in the country's national income,An increase in the employment opoortunities,An increase in the standard of living of the people,C,Economic development and planning,,,,ADVANCE
97,"In a floating exchange rate system, an increase in the number of units of a currency needed in exchange for a unit of foreign currency is known as",Revaluation,Devaluation,Depreciation,Appreciation,Par value,C,International trade,,,,ADVANCE
98,A money market instrument used by the Central Bank to mop up excess liquidity in the economy is,Money at call,Treasury bills,Promissory note,Bond,Bill of exchange,B,Financial institution,,,,ADVANCE
99,An affiliate of the World Bank Group which grants loans and equity capital to private enteprises is the,European Investment Bank (EIB),African Development Fund (ADF),International Finance Corporation (IFC),International Development Association (IDA),International Monetary Fund (IMF),C,International economic organizations,,,,ADVANCE
100,"The input to the producltion process, which represents innovation and risk-taking is called",Labour,Capital,Entrepreneurship,Rent,Land,C,Production,,,,ADVANCE
101,The concept in Economics which describes the alternatives forgone in order to acquire another is,Want,Scarcity ,Choice,Opportunity cost,Scale of preference,D,Basic economic concepts,,,,BEGINNER
102,A good that is used in conjuction with other goods is a/an ...... good,Substitute,Inferior,Luxury,Composite,Complementary,E,Demand and supply,,,,BEGINNER
103,An upward movement along the demand curve ilustrates,A decrease in demand,An increase in demand,A decrease in quantity demanded,An increase in quantity demanded,An equilibrium price,C,Demand and supply,,,,ADVANCE
104,"If the price elasticity of demand is between ZERO and ONE, the good is said to have",Elastic demand,Inelastic demand,Perfectly elastic demand,Perfectly inelastic demand,Unit elastic,E,Demand and supply,,,,ADVANCE
105,Which of the following is NOT an assumption of the marginal utility theory?,A good consumer derives utility from the goods consumed,Marginal utility is positive,"As the quantity of a good consumed increases, marginal utility decreases","As the quantity of a good consumed increases, marginal utility increases",A consumer's aim is to maximize total utility,D,Theory of consumer's behaviour,,,,ADVANCE
106,Demand for any good that is a necessity is,Elastic,Inelastic demand,Perfectly elastic,Perfectly inelastic demand,Unit elastic,D,Demand and supply,,,,ADVANCE
107,Which of the following illustrates the marginal cost curve?,A supply curve,A demand curve,An indifference curve,An isocost curve,A production possibility curve,A,Theory of cost,,,,ADVANCE
108,A regulation that makes it illegal to charge a price higher than a specified level is called,Price floor,Equilibrium price,Mark-up price,Price ceiling,Market price,D,Price system,,,,ADVANCE
109,Which of the following is a disadvantage of sole proprietorship?,Unlimited liability,Small capital requirement,Ease of supervision,Quick decisions,Independence of the owner,A,Business organizations,,,,ADVANCE
110,"At the level of output where the average cost is rising, the marginal cost is",Failling but less than average cost,Risinfg but above the average cost,Falling but greater than average cost,Equal to average cost,Rising but less than average cost,B,Theory of cost,,,,ADVANCE
111,Which of the following is NOT true of the equilibrium condition of a firm under perfect competition?,MC is rising,MC curve cuts AC curve from below,MC = AC,MR > AR,AC = MR = AR,D,Theory of cost,,,,ADVANCE
112,The demand curve facing a firm under perfect competition is ,Relatively elastic,Relatively inelastic,Perfectly elastic,Perfectly inelastic,Unitary price elastic,C,Demand and supply,,,,ADVANCE
113,"In a closed economy without government, if the Marginal Propensity to Save (MPS) is 0.25, income expenditure analysis predicts that an increase in investment of S20 million will raise national income by",$5 million,$15 million,$40 million,$80 million,$100 million,D,National income,,,,ADVANCE
114,Which of the following is NOT a component of aggregate demand in an open economy?,Taxes,Consumption,Government spending,Investment,Net export,A,Basic economic system,,,,ADVANCE
115,An open economy is best described as,An economy with diplomatic relation with other countries,An economy with an open sea-coast and good communicationwith the world,"An economy with foreign trade, foreign investment and other foreign economic relations",An economy with trade treaties with other countries,An economy with open borders which allow for only importation,C,Basic econimic system,,,,ADVANCE
116,Money in circulation can be reduced if the Central Bank,Reduces special deposit,Increases the bank rate,Buys treasury bills in the open market,Increases the credit ceiling,Increases liquidity ratio,B,Financial institution,,,,ADVANCE
117,Which of the following is a function of commercial banks?,Lenders of last resort,Acceptance of deposits,Issuing of currencies,Determining the rate of interest,Bankers' bank,B,Financial institution,,,,ADVANCE
118,The Central Bank controls credit in the economy through the use of,Travellers cheque,Open market operation,Legal tender,Foreign exchange instrument,Fiscal policy instrument,B,Financial institution,,,,ADVANCE
119,A financial statement of the total estimated revenue and proposed expenditure of government in a given period is called,National Budget,Balance sheet of the government,Profit and Loss Account,Surplus Budget,Deficit Budget,A,Public finance,,,,ADVANCE
120,The sales of government securities is a measure of,Expansionary fiscal policy,Expansionary monetary policy,Contractionary onetary policy,Contractionary fiscal policy,Discretionary fiscal policy,C,Public finance,,,,ADVANCE
121,A tax imposed on goods manufactured within a country is called,Company profit tax,Excise tax,Income tax,Capital gains tax,Goods and Services tax,E,Taxation,,,,ADVANCE
122,Which of the following is NOT true of the effects of inflation on the economy?,It penalises savers,Creditors lose assets to debtors,It undermines the value of money,It could lead to breakdown of monetary system,It reduces profit making of firms in the economy,E,Inflation/deflation,,,,ADVANCE
123,The price at which one currency can be traded for another currency is called the,Foreign exchange rate,Foreign exchange system,Foreign exchange rate market,Fixed exchange rate regime,Flexible exchange rate regime,A,International trade,,,,ADVANCE
124,Which of the following can lead to the elimination of balance of payment deficit?,Increase in import volume,Increase in export volume,Insecurity of life and property in the economy,Giving a grants and aids toother countries,Low level of receipts from the provision of international services,B,International trade,,,,ADVANCE
125,"When government transfers its ownership in an organization to members of the public, it is called",Liberalization,Privatisation,Commercialization,Indigenisation,Nationalisation,B,Industrialization,,,,ADVANCE
126,Which of the folllowing is NOT a member of the World Bank Group?,International Bank for Reconstruction and Development (IBRD),International Finance Corporation (IFC),International Development Association (IDA),International Monetary Fund (IMF),Multilateral Investment Guarantee Agency (MIGA),D,International economic organizations,,,,ADVANCE
127,Which of the following is NOT the main objective of the African Development Bank (ADB)?,Financing investment project with potential for social and economic development of African States,Encouraging and promoting exchange rate stability,"Preparing, studying and identifying projects for development of members",Mobilization of resources for financing development of selected projects inside and outside of Africa,"Providing technical assistance for project preparation, study and execution",B,International economic organizations,,,,ADVANCE
128,Which of the following is a limitation to economic integration in West Africa?,Strong trade ties with former colonialists,Effective allocation of roductive resoruces,Absence of border disputes,Economic stability in the region,Free movement of goods among member nations,A,International trade,,,,ADVANCE
129,Which of the following is a potential benefit of real economic growth to a society?,Everyone enjoys a greater nominal income,The standard of living increases,The burden of living increases,The society is less able to satisfy new demand,Increase in the level of under-employment,B,Economic development and planning,,,,ADVANCE
130,Which of the following does NOT characterize a less developed country?,Low human capital formation,Low pre-capital income,Low population dependency burden,Low productivity,Low savings rate,C,Economic development and planning,,,,ADVANCE
131,Which of the following is NOT a function of economic system?,Allocation of resources,Organisation of production,Distribution of goods and services,Economic stability,Income distribution,D,Economic development and planning,,,,ADVANCE
132,"A major weakness of the per capita-income as an index for meansuring standard of living is that, it is",Accepted in socialist countries only,Affected by extreme income values,Based on exact population census,Difficult to calculate,Not acceptable in a capitalist economy,B,National income,,,,ADVANCE
133,"When disposable income equals to zero, consumption is",Negative,Zero,Positive but less than autonomous consumption,Positive and equal to autonomous consumption,Positive and greater than autonomous consumption,D,National income,,,,ADVANCE
134,"In a simple economy described by the following structural equations Y = C + 1, C = 10 + 0.8Y, the investment multiplier is",1.2,2.1,5,1.5,5.1,C,National income,,,,ADVANCE
135,Two goods X and Y are said to be complementary when,A fall in the price of X causes an increase in the quantity demanded of Y,A fall in the price of X causes a decrease in the quantity demand of Y,A fall in the price of X does not affect the quantity demanded for Y,A rise in the price of X does not affect the quantity demanded of Y,The two goods are competitive,A,Demand and supply,,,,ADVANCE
136,A normal supply curve slopes,Parallel to the horizontal axis,Upward from the left to the right,Downward from the left to the right,Upward from the right to the left,Parallel to the vertical axis,B,Demand and supply,,,,ADVANCE
137,A price floor set below the equilibirum price will ,Create a surplus,Have no effect,Lead to a price increase,Create a shortage,lead to market failure,B,Price system,,,,ADVANCE
138,The aim of indigenisation policy was to,Build more industries in the economy,Increase the drain in foreign exchange,Increase the dominance of the economy by foreigners,Increase the participation of citizens in econmic activities ,Expel all the foreigners,D,Industrialization,,,,ADVANCE
139,"Suppose a firm is producing at output level where MR > MC, to miximize profit, it should ",Reduce output,Increase output,Leave output unchanged,Reduce amount of input,Reduce product price,B,Theory of cost and revenue,,,,ADVANCE
140,The total cost of production at output zero is equal to the ....... cost.,Total variable,Total fixed ,Average variable,Average fixed,Marginal,B,Theory of cost,,,,ADVANCE
141,The type of business organization where each member has equal rights no matter the number of shares held is a,Sole proprietorship,Partnership,Public Limited Company,Co-operative Society,Public Corporation,D,Business organizations,,,,ADVANCE
142,Economists define market as,A space which government provides to sellers and buyers to display their goods and services,A place where people buy differnt types of goods,An arrangment where buyers and sellers are brought into contact for the purpose of transacting business,An arrangment where consumers display their needs for suppliers to see,An open space and shops where sellers display their wares for buyers to buy,C,Market structure,,,,ADVANCE
143,A market situation with only a few sellers each anticipating the reaction of others is called,Monopolistic competition,Perfect competition,Duopoly,Oligopoly,Monopoly,D,Market structure,,,,ADVANCE
144,Marginal utility is change in,Marginal utility divided by change in total utility,The unit of commodity divided by change in total utility,Total utility plus change in unit of commodity,Total utility divided by change int he unit of the commodity,Total utility less change in the unit of the commodity,D,Theory of consumer behaviour,,,,ADVANCE
145,The desirable feature of money which makes it easy and convenient to carry around is,Durability,Portability,Divisibility,Uniformity,Relative scarcity,B,Money,,,,ADVANCE
146,The transactionary demand for money arises from its use as a,Medium of exchange,Means of rewarding labour services,Unit of account,Unit of measurement,Standard of deferred payment,A,Money,,,,BEGINNER
147,WhiCh of the following is the most liquid asset?,Gold,Bank notes,Cheque,Time deposit,Savings deposits,B,Money,,,,ADVANCE
148,Which of the following is a measure of reducing unemployment in a developing economy?,maintaining poor database of the unemployed people.,promoting geographical immobility of labour.,discouraging education and training of manpower.,Providing essential social services in the rural areas.,preventing acquisition of knowledge and skills in entrepreneurship.,D,Unemployment,,,,ADVANCE
149,The effects of unemployment EXCLUDE,Loss of potential output in the economy,Increase in crime rate,Loss of confidence in government,Loss of potential tax revenue,Higher wage bargaining power for labour union,E,Unemployment,,,,ADVANCE
150,Which of the following is NOT the major objective of IMF?,Establishment of a system which facilitates utilization of foreign exchange among members countries,Maintenance of stable exchange rate among the member countries,Facilitating convertilibility of nation's currencies and elimination of exchange restrictions,Assisting member countries to solve their balance of payments problems,Providing long term loans for development projects,E,International economic organizations,,,,ADVANCE
151,The incidence of income tax falls directly on the,Government,Consumer,Producer,Population,Tax payer,E,Taxation,,,,ADVANCE
